Instr (PE 1 - WRITE_RESP) Ciclos totales: 11 ciclos, En cola: 8 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.818
Instr (PE 5 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 6 - WRITE_MEM) Ciclos totales: 29 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 29 ciclos, Bytes: 116, Metrica BW: 4
Instr (PE 5 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 5
Instr (PE 6 - WRITE_RESP) Ciclos totales: 10 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.900
Instr (PE 3 - WRITE_MEM) Ciclos totales: 34 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 34 ciclos, Bytes: 136, Metrica BW: 4
Instr (PE 5 - WRITE_MEM) Ciclos totales: 34 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 34 ciclos, Bytes: 136, Metrica BW: 4
Instr (PE 4 - WRITE_MEM) Ciclos totales: 25 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 25 ciclos, Bytes: 100, Metrica BW: 4
Instr (PE 7 - WRITE_MEM) Ciclos totales: 30 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 30 ciclos, Bytes: 120, Metrica BW: 4
Instr (PE 3 - WRITE_MEM) Ciclos totales: 25 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 25 ciclos, Bytes: 100, Metrica BW: 4
Instr (PE 2 - WRITE_MEM) Ciclos totales: 37 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 37 ciclos, Bytes: 148, Metrica BW: 4
Instr (PE 5 - WRITE_RESP) Ciclos totales: 13 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.692
Instr (PE 4 - WRITE_RESP) Ciclos totales: 13 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.692
Instr (PE 7 - WRITE_RESP) Ciclos totales: 13 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.692
Instr (PE 3 - WRITE_RESP) Ciclos totales: 13 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.692
Instr (PE 2 - WRITE_RESP) Ciclos totales: 13 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.692
Instr (PE 6 - WRITE_MEM) Ciclos totales: 38 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 38 ciclos, Bytes: 152, Metrica BW: 4
Instr (PE 3 - WRITE_MEM) Ciclos totales: 26 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 26 ciclos, Bytes: 104, Metrica BW: 4
Instr (PE 7 - WRITE_MEM) Ciclos totales: 25 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 25 ciclos, Bytes: 100, Metrica BW: 4
Instr (PE 0 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 2 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 3 - WRITE_RESP) Ciclos totales: 20 ciclos, En cola: 17 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.450
Instr (PE 7 - WRITE_RESP) Ciclos totales: 12 ciclos, En cola: 9 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.750
Instr (PE 0 - READ_RESP) Ciclos totales: 6 ciclos, En cola: 4 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 3
Instr (PE 2 - READ_RESP) Ciclos totales: 6 ciclos, En cola: 4 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 3
Instr (PE 1 - WRITE_MEM) Ciclos totales: 31 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 31 ciclos, Bytes: 124, Metrica BW: 4
Instr (PE 6 - WRITE_RESP) Ciclos totales: 18 ciclos, En cola: 15 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.500
Instr (PE 3 - WRITE_RESP) Ciclos totales: 18 ciclos, En cola: 15 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 9, Metrica BW: 0.500
Instr (PE 6 - READ_MEM) Ciclos totales: 8 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 3 ciclos, Bytes: 10, Metrica BW: 1
Instr (PE 5 - WRITE_MEM) Ciclos totales: 29 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 29 ciclos, Bytes: 116, Metrica BW: 4
Instr (PE 6 - READ_RESP) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 20, Metrica BW: 5
